Tanggal,Waktu,Pengirim,Pesan
10/3/24,15:53,Athaya TI,6283863404275 Intro dulu bang
10/3/24,15:54,Bayu Samudra Ti,Media omitted
10/3/24,15:56,Athaya TI,6283863404275 intro dulu bang
10/3/24,15:57,Bayu Samudra Ti,Media omitted
10/3/24,15:58,duta,Media omitted
10/3/24,15:58,Bayu Samudra Ti,Media omitted
10/3/24,15:59,Athaya TI,Media omitted
10/3/24,16:05,duta,Media omitted
10/3/24,16:59,Ardiyansah Al3x,Media omitted
10/3/24,17:39,Athaya TI,info gartic phone
10/3/24,17:39,Ardiyansah Al3x,Manut
10/3/24,17:44,Athaya TI,nanti maleman
10/3/24,20:03,Zaki,info
10/3/24,20:13,Ardiyansah Al3x,Sido ra ki selak micek
10/3/24,20:13,Athaya TI,lha lain e
10/3/24,20:13,Athaya TI,6281338245602 6281336530958 6281288360400
10/3/24,20:13,Zaki,sek tuku barang delo
10/3/24,20:17,Ardiyansah Al3x,Gage
10/3/24,20:17,Ardiyansah Al3x,Media omitted
10/3/24,20:20,Zaki,gas
10/3/24,20:20,Zaki,room e le ndi
10/3/24,20:20,Athaya TI,duta diki ndi?
10/3/24,20:20,Zaki,duta turu ketoe
10/3/24,20:21,Zaki,mau sambat rapenak awake
10/3/24,20:21,Ardiyansah Al3x,Sopo neh ki seng main
10/3/24,20:21,Athaya TI,diki
10/3/24,20:21,Ardiyansah Al3x,6281336530958 inpo inpo
10/3/24,20:22,Athaya TI,sg mancing
10/3/24,20:22,Ardiyansah Al3x,Wong 3 tok ki?
10/3/24,20:23,Zaki,wes mlebu aku
10/3/24,20:23,Zaki,lagi enek kancane
10/3/24,20:23,Ardiyansah Al3x,Media omitted
10/3/24,20:24,Athaya TI,Yusra jak en lek
10/3/24,20:25,Ardiyansah Al3x,Oke
10/3/24,20:26,Zaki,6281288360400 info
10/3/24,20:28,Ardiyansah Al3x,Sena jaken cah
10/3/24,20:44,Athaya TI,ono 6285865218530
10/3/24,20:48,Avicena,Opo iki
10/3/24,20:48,Athaya TI,gambar
10/3/24,20:48,Athaya TI,discord
10/3/24,20:48,Avicena,Skip
10/3/24,20:49,Ardiyansah Al3x,ayo
10/3/24,20:49,Zaki,kudu join cen
10/3/24,20:49,Zaki,wajib
10/3/24,20:49,Avicena,Lagi diluar
10/3/24,20:50,Athaya TI,mlebuno
10/3/24,20:52,Zaki,nyusul no
10/10/24,11:50,Athaya TI,Media omitted
10/10/24,11:51,Ardiyansah Al3x,Bjir mulai e durung ogh
10/10/24,11:51,Athaya TI,yo podo lah wong kita sekelompok
10/10/24,11:52,Ardiyansah Al3x,Media omitted
10/10/24,12:08,Bayu Samudra Ti,Jano sek tugas kelompok kon gawe opo
10/10/24,12:10,Ardiyansah Al3x,Media omitted
10/10/24,12:10,Athaya TI,nggawe koe bahagia yu
10/10/24,12:41,Bayu Samudra Ti,Sistem akademik wae gak sih
10/10/24,12:41,Ardiyansah Al3x,Boleh malah penak golek contone spada mbi ol aowkwowk
10/11/24,00:17,duta,kerkom kah?
10/11/24,00:18,duta,dl minggu bjirr
10/11/24,08:32,Bayu Samudra Ti,This message was deleted
10/11/24,09:42,Athaya TI,bolehhh
10/11/24,09:42,Athaya TI,penting ono jawaban e sek ae
10/11/24,09:43,Ardiyansah Al3x,Eh cah wi ngko hasil e bentuk ppt to?
10/11/24,09:44,Athaya TI,yen sg dl minggu tulis tangan
10/11/24,09:45,Ardiyansah Al3x,Topik e meh iki sidane?
10/11/24,09:55,Athaya TI,manut
10/11/24,09:59,Bayu Samudra Ti,Intine sek dl minggu wi kon ngooo wae
10/11/24,10:00,Ardiyansah Al3x,Iki mak kon nulis progres
10/11/24,10:01,Ardiyansah Al3x,Sek ngko jijal tak gaene sak mampu ku sek
